steps,rewards
124,-62.32953972341386
206,-130.90163747614488
282,-283.8347764675317
410,-121.29499956065469
476,-227.99273112088625
568,-216.996147822096
635,-199.89965791476266
841,-467.305504980193
986,-57.494531887660244
1074,-258.7606300726356
1188,-705.9549733294443
1357,-729.1204319969206
1520,-69.19222657243249
1612,-41.49118628848506
1730,-669.3921070780005
1835,-752.7502498538249
1927,-493.96782682711626
2052,-442.3013429237845
2160,-64.2631011804709
2254,-114.47821645729755
2359,-97.70412533472594
2594,-338.22963490006487
2697,-102.10061966911618
2914,-173.8489357484647
3031,-33.84090697116517
3239,-446.4013145091375
3459,-232.6106250632479
4459,-122.04034051533728
4598,-121.52840516623415
4810,-108.05354419760208
5720,-547.3873496374624
5937,-391.46110059265277
6415,-334.43947615620095
6539,-239.46037016829362
6804,-214.29034897052227
7416,-241.96391225256517
7696,-170.38451938651923
8259,-251.30811711183463
8610,-313.7318476882424
8784,-133.11604630834748
9468,-302.8021157441658
9614,-66.95416245976858
